market,signal_date,outcome_date,n_assets,top_codes,bottom_codes,top_outcome,bottom_outcome,top_minus_bottom,rank_ic,outcome_unit
rates,2026-05-22,2026-05-29,10,"KR, AU, GB","JP, US, DE",7.902654033333316,10.602165733333338,-2.6995117000000226,-0.5896683773696627,bp
rates,2026-05-29,2026-06-05,10,"KR, AU, CA","IT, US, DE",-10.76955796666669,-11.481715566666677,0.712157599999987,0.18787878787878787,bp
rates,2026-06-05,2026-06-12,10,"AU, GB, KR","IT, DE, US",7.3355038999999955,5.791193100000004,1.5443107999999919,0.5227987675648555,bp
rates,2026-06-12,2026-06-19,10,"GB, AU, KR","IT, DE, US",0.6882190666666806,2.0295203999999956,-1.3413013333333148,-0.6322217654272672,bp
rates,2026-06-19,2026-06-26,10,"GB, AU, KR","CA, DE, US",8.52592783333336,7.658990233333348,0.8669376000000124,0.19452977397762067,bp
rates,2026-06-26,2026-07-03,10,"GB, AU, KR","CA, DE, US",-6.899738300000043,-8.511543300000005,1.6118049999999622,0.49090909090909085,bp
rates,2026-07-03,2026-07-10,10,"GB, AU, CA","DE, JP, US",-6.634871133333291,-5.519049333333352,-1.1158217999999387,0.0,bp
rates,2026-07-10,2026-07-17,10,"GB, AU, FR","DE, JP, US",-8.006223033333375,-0.08314793333332737,-7.923075100000048,-0.4787878787878787,bp
rates,2026-07-17,2026-07-24,10,"AU, GB, CA","DE, IT, US",-10.581509266666641,-7.553116533333333,-3.028392733333308,-0.11515151515151514,bp
rates,2026-07-24,2026-07-31,10,"GB, AU, CA","IT, JP, US",2.810589466666628,-2.3653327666666613,5.175922233333289,0.32121212121212117,bp
rates,2026-07-31,2026-08-07,10,"AU, GB, KR","ES, US, DE",3.071101500000021,8.506027599999996,-5.434926099999975,-0.2006088294144213,bp
rates,2026-08-07,2026-08-14,10,"GB, AU, KR","ES, US, DE",-3.2625198292724513,-0.07993098079427756,-3.182588848478174,-0.006060606060606061,bp
